from,to,weight,year,neighbor
NL,IS,7,1993,2
SE,IS,7,1993,2
HR,IS,5,1993,2
SI,IS,5,1993,2
DK,IS,4,1993,2
GR,IS,4,1993,2
GB,IS,2,1993,2
IL,IS,2,1993,2
NO,IS,2,1993,2
CY,IS,2,1993,2
IE,IS,1,1993,2
AT,IS,1,1993,2
BA,AT,12,1993,2
IE,AT,6,1993,2
TR,AT,4,1993,2
BE,AT,3,1993,2
FR,AT,3,1993,2
GB,AT,3,1993,2
GR,AT,1,1993,2
GB,HR,8,1993,2
IL,HR,6,1993,2
PT,HR,5,1993,2
BE,HR,4,1993,2
NO,HR,4,1993,2
CH,HR,3,1993,2
ES,HR,1,1993,2
TR,BA,12,1993,2
FR,BA,4,1993,2
MT,BA,4,1993,2
IE,BA,3,1993,2
IT,BA,3,1993,2
BE,BA,1,1993,2
GR,FI,8,1993,2
IS,FI,5,1993,2
TR,FI,3,1993,2
LU,FI,2,1993,2
MT,FI,2,1993,2
IT,DE,8,1993,2
IE,DE,4,1993,2
DK,DE,3,1993,1
CH,DE,2,1993,1
NL,DE,1,1993,1
GR,CY,10,1993,2
GB,CY,5,1993,2
DK,CY,2,1993,2
MT,LU,10,1993,2
SI,LU,1,1993,2
ES,TR,6,1993,2
BA,TR,2,1993,2
IS,TR,1,1993,2
HR,TR,1,1993,2
BA,DK,5,1993,2
LU,DK,3,1993,2
SE,DK,1,1993,1
IT,SI,4,1993,1
SE,SI,3,1993,2
BA,SI,1,1993,2
MT,SI,1,1993,2
PT,IL,3,1993,2
FR,IL,1,1993,2
DE,BE,3,1993,1
GR,IE,12,1992,2
MT,IE,12,1992,2
TR,IE,12,1992,2
DK,IE,10,1992,2
DE,IE,10,1992,2
FI,IE,10,1992,2
LU,IE,10,1992,2
NL,IE,10,1992,2
AT,IE,10,1992,2
SE,IE,10,1992,2
GB,IE,8,1992,1
BE,IE,7,1992,2
IS,IE,7,1992,2
NO,IE,7,1992,2
CH,IE,6,1992,2
CY,IE,5,1992,2
PT,IE,4,1992,2
IT,IE,2,1992,2
YU,IE,2,1992,2
ES,IE,1,1992,2
BE,GB,12,1992,2
DK,GB,12,1992,2
DE,GB,12,1992,2
AT,GB,12,1992,2
FR,GB,10,1992,2
TR,GB,10,1992,2
IT,GB,8,1992,2
CH,GB,8,1992,2
IE,GB,7,1992,1
LU,GB,7,1992,2
NL,GB,7,1992,2
FI,GB,6,1992,2
MT,GB,6,1992,2
CY,GB,6,1992,2
SE,GB,5,1992,2
ES,GB,5,1992,2
IS,GB,4,1992,2
IL,GB,2,1992,2
LU,MT,12,1992,2
PT,MT,12,1992,2
SE,MT,12,1992,2
ES,MT,12,1992,2
BE,MT,10,1992,2
IE,MT,10,1992,2
YU,MT,10,1992,2
DK,MT,8,1992,2
IS,MT,8,1992,2
AT,MT,8,1992,2
GR,MT,7,1992,2
NL,MT,5,1992,2
CH,MT,5,1992,2
IT,MT,3,1992,2
CY,MT,1,1992,2
FI,IT,12,1992,2
FR,IT,12,1992,1
NL,IT,12,1992,2
NO,IT,12,1992,2
IS,IT,10,1992,2
CY,IT,10,1992,2
PT,IT,8,1992,2
SE,IT,8,1992,2
CH,IT,7,1992,1
AT,IT,6,1992,1
MT,IT,5,1992,2
TR,IT,5,1992,2
GR,IT,3,1992,2
DE,IT,1,1992,2
IT,GR,12,1992,2
CY,GR,12,1992,2
CH,GR,10,1992,2
NO,GR,8,1992,2
TR,GR,8,1992,1
FR,GR,7,1992,2
IL,GR,7,1992,2
YU,GR,7,1992,1
FI,GR,5,1992,2
PT,GR,5,1992,2
NL,GR,4,1992,2
AT,GR,4,1992,2
SE,GR,3,1992,2
IS,GR,2,1992,2
YU,IL,12,1992,2
ES,IL,10,1992,2
FR,IL,8,1992,2
LU,IL,8,1992,2
GB,IL,7,1992,2
MT,IL,7,1992,2
PT,IL,7,1992,2
DE,IL,4,1992,2
SE,IL,4,1992,2
CH,IL,4,1992,2
CY,IL,4,1992,2
NL,IL,3,1992,2
DK,IL,2,1992,2
NO,IL,2,1992,2
TR,IL,2,1992,2
AT,IL,1,1992,2
GB,IS,12,1992,2
ES,IS,8,1992,2
AT,IS,7,1992,2
DE,IS,6,1992,2
GR,IS,6,1992,2
PT,IS,6,1992,2
SE,IS,6,1992,2
DK,IS,5,1992,2
IT,IS,5,1992,2
LU,IS,5,1992,2
BE,IS,4,1992,2
IL,IS,4,1992,2
CH,IS,3,1992,2
NL,IS,2,1992,2
NO,IS,1,1992,2
IL,FR,12,1992,2
CH,FR,12,1992,1
NO,FR,10,1992,2
FI,FR,7,1992,2
IT,FR,6,1992,1
NL,FR,6,1992,2
ES,FR,6,1992,1
IE,FR,5,1992,2
DE,FR,3,1992,1
TR,FR,3,1992,2
CY,FR,3,1992,2
IE,NL,8,1992,2
DE,NL,7,1992,1
ES,NL,7,1992,2
TR,NL,7,1992,2
CY,NL,7,1992,2
GR,NL,5,1992,2
IL,NL,5,1992,2
AT,NL,5,1992,2
FR,NL,4,1992,2
NO,NL,4,1992,2
IS,NL,3,1992,2
BE,NL,2,1992,1
GB,NL,2,1992,2
CH,NL,1,1992,2
IE,AT,12,1992,2
GB,AT,10,1992,2
BE,AT,8,1992,2
GR,AT,8,1992,2
CY,AT,8,1992,2
DK,AT,7,1992,2
MT,AT,4,1992,2
PT,AT,3,1992,2
ES,AT,2,1992,2
SE,AT,1,1992,2
GR,CY,10,1992,2
FI,CY,8,1992,2
YU,CY,8,1992,2
NL,CY,8,1992,2
IE,CY,6,1992,2
IT,CY,4,1992,2
IL,CY,3,1992,2
NO,CY,3,1992,2
FR,CY,2,1992,2
PT,CY,2,1992,2
CH,CY,2,1992,2
MT,CY,1,1992,2
SE,DK,7,1992,1
IS,DK,6,1992,2
IL,DK,6,1992,2
LU,DK,6,1992,2
NO,DK,6,1992,1
DE,DK,5,1992,1
ES,DK,4,1992,2
GB,DK,3,1992,2
AT,DK,3,1992,2
PT,DK,1,1992,2
IL,YU,10,1992,2
TR,YU,6,1992,2
FR,YU,5,1992,2
IS,YU,5,1992,2
FI,YU,4,1992,2
IE,YU,4,1992,2
MT,YU,3,1992,2
DE,YU,2,1992,2
LU,YU,2,1992,2
CY,YU,2,1992,2
GR,YU,1,1992,1
IT,ES,7,1992,2
FR,ES,6,1992,1
NO,ES,5,1992,2
GR,ES,4,1992,2
FI,ES,3,1992,2
LU,ES,3,1992,2
MT,ES,2,1992,2
AT,ES,2,1992,2
BE,ES,1,1992,2
DK,ES,1,1992,2
GB,ES,1,1992,2
NL,ES,1,1992,2
TR,ES,1,1992,2
IS,CH,12,1992,2
IT,CH,10,1992,1
BE,CH,5,1992,2
GB,CH,4,1992,2
IE,CH,1,1992,2
PT,DE,10,1992,2
BE,DE,6,1992,1
GB,DE,6,1992,2
DK,DE,3,1992,1
IE,DE,2,1992,2
DE,PT,8,1992,2
IL,PT,8,1992,2
YU,PT,5,1992,2
FI,PT,2,1992,2
GR,PT,2,1992,2
IT,PT,1,1992,2
DK,NO,6,1992,1
GB,NO,5,1992,2
LU,NO,4,1992,2
BE,NO,3,1992,2
SE,NO,2,1992,1
FI,NO,1,1992,1
IS,NO,1,1992,2
YU,NO,1,1992,2
MT,TR,8,1992,2
YU,TR,6,1992,2
IE,TR,3,1992,2
TR,BE,4,1992,2
FR,BE,3,1992,1
ES,BE,3,1992,2
LU,BE,1,1992,1
MT,LU,10,1992,2
DK,SE,4,1992,1
YU,SE,4,1992,2
FR,SE,1,1992,2
YU,FI,3,1992,2
IL,FI,1,1992,2
DK,SE,12,1991,1
DE,SE,12,1991,2
GB,SE,12,1991,2
IS,SE,12,1991,2
BE,SE,10,1991,2
IL,SE,10,1991,2
AT,SE,10,1991,2
PT,SE,10,1991,2
CH,SE,10,1991,2
FI,SE,8,1991,1
NO,SE,8,1991,1
LU,SE,7,1991,2
YU,SE,6,1991,2
TR,SE,6,1991,2
CY,SE,6,1991,2
ES,SE,4,1991,2
IE,SE,3,1991,2
IL,FR,12,1991,2
IT,FR,12,1991,1
NO,FR,12,1991,2
AT,FR,12,1991,2
FI,FR,10,1991,2
YU,FR,10,1991,2
DE,FR,8,1991,1
GR,FR,8,1991,2
ES,FR,8,1991,1
BE,FR,7,1991,1
IE,FR,7,1991,2
IS,FR,7,1991,2
CH,FR,7,1991,1
CY,FR,7,1991,2
GB,FR,6,1991,2
PT,FR,5,1991,2
SE,FR,5,1991,2
MT,FR,3,1991,2
YU,IL,12,1991,2
ES,IL,12,1991,2
TR,IL,12,1991,2
DK,IL,10,1991,2
GB,IL,10,1991,2
IS,IL,10,1991,2
BE,IL,8,1991,2
IE,IL,8,1991,2
MT,IL,8,1991,2
CH,IL,8,1991,2
NO,IL,7,1991,2
FI,IL,6,1991,2
SE,IL,6,1991,2
GR,IL,5,1991,2
LU,IL,5,1991,2
CY,IL,5,1991,2
PT,IL,4,1991,2
FR,IL,3,1991,2
CH,ES,12,1991,2
CY,ES,12,1991,2
GR,ES,10,1991,2
YU,ES,8,1991,2
PT,ES,8,1991,1
TR,ES,8,1991,2
DE,ES,7,1991,2
AT,ES,7,1991,2
BE,ES,6,1991,2
FR,ES,6,1991,1
IE,ES,6,1991,2
LU,ES,6,1991,2
MT,ES,6,1991,2
FI,ES,4,1991,2
NO,ES,4,1991,2
SE,ES,4,1991,2
IS,ES,2,1991,2
IL,ES,2,1991,2
GB,ES,1,1991,2
BE,CH,12,1991,2
LU,CH,12,1991,2
